model,n,mean_error_px,median_error_px,std_error_px,hit_rate,mean_iou,mean_latency_ms
claude-opus-4.6,15,155.73,75.33,271.7,0.8,0.44,3741.93
claude-opus-4.7,15,16.96,5.1,23.76,1.0,0.73,4457.07
claude-sonnet-4.5,15,881.27,777.62,509.0,0.07,0.03,4574.13
gemini-2.5-pro,15,53.49,14.04,89.41,0.87,0.62,16725.07
gpt-4.1,15,347.85,295.08,363.9,0.47,0.32,2592.67
gpt-4o,15,172.69,142.9,143.2,0.33,0.31,2854.27
